"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin","winner_party","RepVotesMajorPercent","DemVotesMajorPercent"
"156","Indiana",2020,"6",225319,"Incumbent",91103,"Challenger",71.21,28.79,"IN06","R",316422,0.424167725,NA,NA,NA
"157","Indiana",2020,"7",106146,"Challenger",176422,"Incumbent",37.56,62.44,"IN07","D",282568,0.248704737,NA,NA,NA
"158","Indiana",2020,"8",214643,"Incumbent",95691,"Challenger",69.17,30.83,"IN08","R",310334,0.383303151,NA,NA,NA
"159","Indiana",2020,"9",222057,"Incumbent",122566,"Challenger",64.43,35.57,"IN09","R",344623,0.288695183,NA,NA,NA
"160","Iowa",2020,"1",212088,"Challenger",201347,"Incumbent",51.3,48.7,"IA01","R",413435,0.0259799,NA,NA,NA
"161","Iowa",2020,"2",196964,"Challenger",196958,"Challenger",50,50,"IA02","R",393922,1.52e-05,NA,NA,NA
"162","Iowa",2020,"3",212997,"Challenger",219205,"Incumbent",49.28,50.72,"IA03","D",432202,0.014363654,NA,NA,NA
"163","Iowa",2020,"4",237369,"Challenger",144761,"Challenger",62.12,37.88,"IA04","R",382130,0.242346845,NA,NA,NA
"164","Kansas",2020,"1",208229,"Challenger",84393,"Challenger",71.16,28.84,"KS01","R",292622,0.423194428,NA,NA,NA
"165","Kansas",2020,"2",185464,"Challenger",136650,"Challenger",57.58,42.42,"KS02","R",322114,0.151542622,NA,NA,NA
"166","Kansas",2020,"3",178773,"Challenger",220049,"Incumbent",44.83,55.17,"KS03","D",398822,0.103494792,NA,NA,NA
"167","Kansas",2020,"4",203432,"Incumbent",116166,"Challenger",63.65,36.35,"KS04","R",319598,0.273049268,NA,NA,NA
"168","Kentucky",2020,"1",246329,"Incumbent",82141,"Challenger",74.99,25.01,"KY01","R",328470,0.499856912,NA,NA,NA
"169","Kentucky",2020,"2",255735,"Incumbent",94643,"Challenger",72.99,27.01,"KY02","R",350378,0.45976631,NA,NA,NA
"170","Kentucky",2020,"3",137425,"Challenger",230672,"Incumbent",37.33,62.67,"KY03","D",368097,0.253321815,NA,NA,NA
"171","Kentucky",2020,"4",256613,"Incumbent",125896,"Challenger",67.09,32.91,"KY04","R",382509,0.34173575,NA,NA,NA
"172","Kentucky",2020,"5",250914,"Incumbent",47056,"Challenger",84.21,15.79,"KY05","R",297970,0.684156123,NA,NA,NA
"173","Kentucky",2020,"6",216948,"Incumbent",155011,"Challenger",58.33,41.67,"KY06","R",371959,0.166515664,NA,NA,NA
"174","Louisiana",2020,"1",270330,"Incumbent",94730,"Challenger",74.05,25.95,"LA01","R",365060,0.481016819,NA,NA,NA
"175","Louisiana",2020,"3",230480,"Incumbent",60852,"Challenger",79.11,20.89,"LA03","R",291332,0.582249804,NA,NA,NA
"176","Louisiana",2020,"4",185265,"Incumbent",78157,"Challenger",70.33,29.67,"LA04","R",263422,0.406602334,NA,NA,NA
"177","Louisiana",2020,"2",47575,"Challenger",201636,"Incumbent",19.09,80.91,"LA02","D",249211,0.618195023,NA,NA,NA
"178","Louisiana",2020,"5",102533,"Challenger",50812,"Challenger",66.86,33.14,"LA05","R",153345,0.334494115,NA,NA,NA
"179","Louisiana",2020,"5",49183,"Challenger",0,NA,100,0,"LA05","R",49183,0.387511945,NA,NA,NA
"180","Louisiana",2020,"6",265706,"Incumbent",95541,"Challenger",73.55,26.45,"LA06","R",361247,0.471048895,NA,NA,NA
"181","Maine",2020,"1",165008,"Challenger",271004,"Incumbent",37.84,62.16,"ME01","D",436012,0.243103401,NA,NA,NA
"182","Maine",2020,"2",175228,"Challenger",197974,"Incumbent",46.95,53.05,"ME02","D",373202,0.060948226,NA,NA,NA
"183","Maryland",2020,"1",250901,"Incumbent",143877,"Challenger",63.55,36.45,"MD01","R",394778,0.2710992,NA,NA,NA
"184","Maryland",2020,"2",106355,"Challenger",224836,"Incumbent",32.11,67.89,"MD02","D",331191,0.357742209,NA,NA,NA
"185","Maryland",2020,"3",112117,"Challenger",260358,"Incumbent",30.1,69.9,"MD03","D",372475,0.397989127,NA,NA,NA
"186","Maryland",2020,"4",71671,"Challenger",282119,"Incumbent",20.26,79.74,"MD04","D",353790,0.594838746,NA,NA,NA
"187","Maryland",2020,"5",123525,"Challenger",274210,"Incumbent",31.06,68.94,"MD05","D",397735,0.378857782,NA,NA,NA
"188","Maryland",2020,"6",143599,"Challenger",215540,"Incumbent",39.98,60.02,"MD06","D",359139,0.200315198,NA,NA,NA
"189","Maryland",2020,"7",92825,"Challenger",237084,"Incumbent",28.14,71.86,"MD07","D",329909,0.437269065,NA,NA,NA
"190","Maryland",2020,"8",127157,"Challenger",274716,"Incumbent",31.64,68.36,"MD08","D",401873,0.367178188,NA,NA,NA
"191","Massachusetts",2020,"1",0,NA,275376,"Incumbent",0,100,"MA01","D",275376,0.968472198,NA,NA,NA
"192","Massachusetts",2020,"2",132220,"Challenger",249854,"Incumbent",34.61,65.39,"MA02","D",382074,0.307882766,NA,NA,NA
"193","Massachusetts",2020,"3",0,NA,286896,"Incumbent",0,100,"MA03","D",286896,0.976845268,NA,NA,NA
"194","Massachusetts",2020,"4",160474,"Challenger",251102,"Challenger",38.99,61.01,"MA04","D",411576,0.220197485,NA,NA,NA
"195","Massachusetts",2020,"5",101351,"Challenger",294427,"Incumbent",25.61,74.39,"MA05","D",395778,0.487839142,NA,NA,NA
"196","Massachusetts",2020,"6",150695,"Challenger",286377,"Incumbent",34.48,65.52,"MA06","D",437072,0.310433979,NA,NA,NA
"197","Massachusetts",2020,"7",0,NA,267362,"Incumbent",0,100,"MA07","D",267362,0.855345935,NA,NA,NA
"198","Massachusetts",2020,"8",0,NA,310940,"Incumbent",0,100,"MA08","D",310940,0.76825111,NA,NA,NA
"199","Massachusetts",2020,"9",154261,"Challenger",260262,"Incumbent",37.21,62.79,"MA09","D",414523,0.255718018,NA,NA,NA
"200","Michigan",2020,"1",256581,"Incumbent",153328,"Challenger",62.59,37.41,"MI01","R",409909,0.251892493,NA,NA,NA
"201","Michigan",2020,"2",238711,"Incumbent",154122,"Challenger",60.77,39.23,"MI02","R",392833,0.215330688,NA,NA,NA
"202","Michigan",2020,"3",213649,"Challenger",189769,"Challenger",52.96,47.04,"MI03","R",403418,0.059194186,NA,NA,NA
"203","Michigan",2020,"4",242621,"Incumbent",120802,"Challenger",66.76,33.24,"MI04","R",363423,0.335198928,NA,NA,NA
"204","Michigan",2020,"5",150772,"Challenger",196599,"Incumbent",43.4,56.6,"MI05","D",347371,0.131925233,NA,NA,NA
