"","state","st_fips","district","cd_fips","st_cd_fips","cpvi","incumbent","cand"
"315","Illinois","17","2","02","1702","D+19",1,"Robin Kelly"
"316","Illinois","17","2","02","1702","D+19",0,"Thomas Lynch"
"317","Illinois","17","3","03","1703","D+20",0,"Justin Burau"
"318","Illinois","17","3","03","1703","D+20",0,"Delia Ramirez"
"319","Illinois","17","4","04","1704","D+22",0,"James Falakos"
"320","Illinois","17","4","04","1704","D+22",1,"Chuy García"
"321","Illinois","17","4","04","1704","D+22",0,"Edward Hershey"
"322","Illinois","17","5","05","1705","D+18",0,"Jerico Cruz"
"323","Illinois","17","5","05","1705","D+18",0,"Tommy Hanson"
"324","Illinois","17","5","05","1705","D+18",1,"Mike Quigley"
"325","Illinois","17","6","06","1706","D+3",1,"Sean Casten"
"326","Illinois","17","6","06","1706","D+3",0,"Keith Pekau"
"327","Illinois","17","6","06","1706","D+3",0,"Sean Casten"
"328","Illinois","17","6","06","1706","D+3",0,"Keith Pekau"
"329","Illinois","17","7","07","1707","D+36",1,"Danny K. Davis"
"330","Illinois","17","8","08","1708","D+6",0,"Chris Dargis"
"331","Illinois","17","8","08","1708","D+6",1,"Raja Krishnamoorthi"
"332","Illinois","17","9","09","1709","D+19",0,"Max Rice"
"333","Illinois","17","9","09","1709","D+19",1,"Jan Schakowsky"
"334","Illinois","17","10","10","1710","D+11",1,"Brad Schneider"
"335","Illinois","17","10","10","1710","D+11",0,"Joseph Severino"
"336","Illinois","17","11","11","1711","D+5",1,"Bill Foster"
"337","Illinois","17","11","11","1711","D+5",0,"Catalina Lauf"
"338","Illinois","17","12","12","1712","R+24",1,"Mike Bost"
"339","Illinois","17","12","12","1712","R+24",0,"Chip Markel"
"340","Illinois","17","13","13","1713","D+3",0,"Nikki Budzinski"
"341","Illinois","17","13","13","1713","D+3",0,"Regan Deering"
"342","Illinois","17","14","14","1714","D+4",0,"Scott Gryder"
"343","Illinois","17","14","14","1714","D+4",1,"Lauren Underwood"
"344","Illinois","17","15","15","1715","R+22",0,"Paul Lange"
"345","Illinois","17","15","15","1715","R+22",1,"Mary Miller"
"346","Illinois","17","15","15","1715","R+22",0,"Paul Lange"
"347","Illinois","17","15","15","1715","R+22",0,"Mary Miller"
"348","Illinois","17","16","16","1716","R+13",0,"Elizabeth Haderlein"
"349","Illinois","17","16","16","1716","R+13",0,"Darin LaHood"
"350","Illinois","17","16","16","1716","R+13",0,"Elizabeth Haderlein"
"351","Illinois","17","16","16","1716","R+13",0,"Darin LaHood"
"352","Illinois","17","17","17","1717","D+2",0,"Esther Joy King"
"353","Illinois","17","17","17","1717","D+2",0,"Eric Sorensen"
"354","Indiana","18","1","01","1801","D+3",0,"Jennifer-Ruth Green"
"355","Indiana","18","1","01","1801","D+3",1,"Frank J. Mrvan"
"356","Indiana","18","2","02","1802","R+14",0,"William Henry"
"357","Indiana","18","2","02","1802","R+14",0,"Paul Steury"
"358","Indiana","18","2","02","1802","R+14",0,"Rudy Yakym"
"359","Indiana","18","3","03","1803","R+18",0,"Nathan Gotsch"
"360","Indiana","18","3","03","1803","R+18",1,"Jim Banks"
"361","Indiana","18","3","03","1803","R+18",0,"Gary Snyder"
"362","Indiana","18","4","04","1804","R+18",1,"Jim Baird"
"363","Indiana","18","4","04","1804","R+18",0,"Roger Day"
"364","Indiana","18","5","05","1805","R+11",0,"Jeannine Lee Lake"
"365","Indiana","18","5","05","1805","R+11",1,"Victoria Spartz"
"366","Indiana","18","6","06","1806","R+19",1,"Greg Pence"
"367","Indiana","18","6","06","1806","R+19",0,"Cinde Wirth"
"368","Indiana","18","7","07","1807","D+19",1,"André Carson"
"369","Indiana","18","7","07","1807","D+19",0,"Angela Grabovsky"
"370","Indiana","18","7","07","1807","D+19",0,"Gavin Maple"
"371","Indiana","18","8","08","1808","R+19",1,"Larry Bucshon"
"372","Indiana","18","8","08","1808","R+19",0,"Andrew Horning"
"373","Indiana","18","8","08","1808","R+19",0,"Ray McCormick"
"374","Indiana","18","9","09","1809","R+16",0,"Matthew Fyfe"
"375","Indiana","18","9","09","1809","R+16",0,"Erin Houchin"
"376","Indiana","18","9","09","1809","R+16",0,"Tonya Millis"
"377","Iowa","19","1","01","1901","R+3",0,"Christina Bohannan"
"378","Iowa","19","1","01","1901","R+3",0,"Mariannette Miller-Meeks"
"379","Iowa","19","2","02","1902","R+4",0,"Ashley Hinson"
"380","Iowa","19","2","02","1902","R+4",0,"Liz Mathis"
"381","Iowa","19","3","03","1903","R+3",1,"Cindy Axne"
"382","Iowa","19","3","03","1903","R+3",0,"Zach Nunn"
"383","Iowa","19","4","04","1904","R+16",1,"Randy Feenstra"
"384","Iowa","19","4","04","1904","R+16",0,"Bryan Holder"
"385","Iowa","19","4","04","1904","R+16",0,"Ryan Melton"
"386","Kansas","20","1","01","2001","R+18",0,"Jimmy Beard"
"387","Kansas","20","1","01","2001","R+18",1,"Tracey Mann"
"388","Kansas","20","2","02","2002","R+11",1,"Jake LaTurner"
"389","Kansas","20","2","02","2002","R+11",0,"Patrick Schmidt"
"390","Kansas","20","3","03","2003","R+1",0,"Amanda Adkins"
"391","Kansas","20","3","03","2003","R+1",1,"Sharice Davids"
"392","Kansas","20","3","03","2003","R+1",0,"Steven Hohe"
"393","Kansas","20","4","04","2004","R+14",1,"Ron Estes"
"394","Kansas","20","4","04","2004","R+14",0,"Bob Hernandez"
"395","Kentucky","21","1","01","2101","R+24",0,"Jimmy Ausbrooks"
"396","Kentucky","21","1","01","2101","R+24",1,"James Comer"
"397","Kentucky","21","2","02","2102","R+21",1,"Brett Guthrie"
"398","Kentucky","21","2","02","2102","R+21",0,"Hank Linderman"
"399","Kentucky","21","3","03","2103","D+9",0,"Morgan McGarvey"
"400","Kentucky","21","3","03","2103","D+9",0,"Stuart Ray"
"401","Kentucky","21","4","04","2104","R+19",0,"Matthew Lehman"
"402","Kentucky","21","4","04","2104","R+19",1,"Thomas Massie"
"403","Kentucky","21","4","04","2104","R+19",0,"Ethan Osborne"
"404","Kentucky","21","5","05","2105","R+32",0,"Conor Halbleib"
"405","Kentucky","21","5","05","2105","R+32",1,"Hal Rogers"
"406","Kentucky","21","6","06","2106","R+9",1,"Andy Barr"
"407","Kentucky","21","6","06","2106","R+9",0,"Geoff Young"
"408","Louisiana","22","1","01","2201","R+23",0,"Katie Darling"
"409","Louisiana","22","1","01","2201","R+23",0,"Howard Kearney"
"410","Louisiana","22","1","01","2201","R+23",1,"Steve Scalise"
"411","Louisiana","22","2","02","2202","D+25",1,"Troy Carter"
"412","Louisiana","22","2","02","2202","D+25",0,"Dan Lux"
"413","Louisiana","22","3","03","2203","R+21",1,"Clay Higgins"
"414","Louisiana","22","3","03","2203","R+21",0,"Holden Hoggatt"
"415","Louisiana","22","3","03","2203","R+21",0,"Lessie Leblanc"
"416","Louisiana","22","3","03","2203","R+21",0,"Tia LeBrun"
"417","Louisiana","22","3","03","2203","R+21",0,"Guy McLendon"
"418","Louisiana","22","3","03","2203","R+21",0,"Thomas Payne Jr."
"419","Louisiana","22","3","03","2203","R+21",0,"Jake Shaheen"
"420","Louisiana","22","3","03","2203","R+21",0,"Gloria Wiggins"
"421","Louisiana","22","4","04","2204","R+14",1,"Mike Johnson"
"422","Louisiana","22","5","05","2205","R+17",0,"Omar Dantzler"
